Date,usdt,usdp,usdc,tusd,gusd,frax,dai,busd,bit,eth,xrp,NGN,Lira
2023-11-05,2.386602982088942,2.386373730985527,2.386158334693635,2.385603102492956,2.3852269191616053,2.384991274764269,2.385935103186773,2.3863443293241136,-297.0,-297.00000000000006,2.507987927109107,8.419760177196144,8.30608295757476
2023-11-06,2.386702314092161,2.3864502093407673,2.386356221596242,2.38557499805873,2.3846698050063835,2.3847054512151074,2.3864239891607775,2.386442415436445,-297.0,-297.00000000000006,2.52568798850956,8.670101244449949,8.316604856387569
2023-11-07,2.38654253271962,2.386279944756742,2.3863536677328967,2.387661603764708,2.3844303211935047,2.385005399256134,2.3859046000649924,2.3861001467141594,-297.0,-297.0,2.523666284604203,8.672301453685794,8.320669521834619
2023-11-08,2.3868030571130183,2.3865453985103224,2.38645505224116,2.3858794338017173,2.3849803193042014,2.3854599227495905,2.3865352608855415,2.386535042394948,-297.0,-297.0,2.537375119446309,8.68246426930858,8.331247240322336
2023-11-09,2.3866989350876833,2.385996264875099,2.3862453655679396,2.385083992399574,2.3845330984744546,2.3866500263175414,2.386081192328686,2.3860921776509407,-297.0,-296.99999999999994,2.542588105526344,8.434034069262227,8.322129922351374
2023-11-10,2.3867006957303576,2.3861520459717487,2.3863464431564316,2.3856889033725697,2.3853575765488,2.3853272329937147,2.3864092450063206,2.3863035480527404,-297.00000000000006,-297.00000000000006,2.540246254814551,8.67229351081176,8.323577695488078
2023-11-11,2.38659530364996,2.3862955376024795,2.386160397075221,2.385530891775896,2.3847738500958298,2.384886093490571,2.386232715719279,2.386301380374578,-297.00000000000006,-297.00000000000006,2.5411886501416805,8.423909346642175,8.314548313640632
2023-11-12,2.3868939993337195,2.3864736875768555,2.386543053593839,2.3857002881917255,2.3855885265155683,2.384526860001922,2.3864454742084393,2.3865849102741756,-297.0,-297.0,2.5354976917386316,8.689408223893327,8.34627115166547
2023-11-13,2.3867971443007945,2.3858344771743996,2.386217475852044,2.3869010745346726,2.385214326942675,2.3845611574031573,2.3859399854965027,2.3864824598609187,-297.00000000000006,-297.0,2.5643845772834175,8.689537027411765,8.34011332637803
2023-11-14,2.387113100755459,2.386742688363709,2.3868168272497647,2.386064236416433,2.3856886397915797,2.3856186669036945,2.386788209158917,2.3867035326541925,-297.0,-296.99999999999994,2.554137120331429,8.464617598494243,8.35694369691409
2023-11-15,2.3873137690284865,2.3866435674216953,2.3870133211447095,2.385742541170007,2.3848558732612712,2.3853823143370128,2.386945923416265,2.3867690429029675,-297.0,-297.0,2.5811895834791128,8.717667283349952,8.37233120431364
2023-11-16,2.387218272638613,2.3861610974394676,2.386693117243524,2.385721922975525,2.3884370338528966,2.38826713668658,2.3866791137442944,2.3864626302428555,-297.00000000000006,-297.0,2.580019622361066,8.70798927250413,8.192305485107504
2023-11-17,2.387031063577539,2.3865586262476017,2.3867108479481236,2.385545312261156,2.385429115607137,2.384962211807321,2.3862050493373417,2.386467431191779,-297.00000000000006,-297.0,2.581501422736647,8.68753035295402,8.343387623685564
2023-11-18,2.386809629268833,2.3864622079545383,2.3862221893848723,2.3867466799138213,2.3864230695708266,2.38640408026698,2.386154578088706,2.385629618841357,-297.0,-297.0,2.569487741515849,8.674888245006596,8.164352890841316
2023-11-19,2.387016793477141,2.386322393299276,2.386562326758462,2.385557120138828,2.384351249124564,2.3863841035718316,2.3866314257404553,2.385978192026624,-297.00000000000006,-297.0,2.580412981995196,8.684876658628243,8.344835623749086
2023-11-20,2.3869154358658276,2.3856764058025215,2.386598718833124,2.388107431986897,2.3850524058357894,2.386210518602156,2.386158009052477,2.386017966547544,-297.00000000000006,-297.0,2.6048261349792337,8.43567412544557,8.616072471332854
2023-11-21,2.3869518992973076,2.3864965198809096,2.3866044055472075,2.3854603631640825,2.3856131122400726,2.385204214240794,2.386018901809799,2.3863556658535474,-297.0,-297.00000000000006,2.5799551476270772,8.672953225623377,8.594784066460308
2023-11-22,2.386902030018981,2.3863904692884015,2.3866184101093744,2.3851489072425665,2.385171062488125,2.3845570252141126,2.3863574090076165,2.386125482884524,-297.0,-297.0,2.57300509931561,8.672955636081,8.599494481330144
2023-11-23,2.3871487488080336,2.386623381088901,2.386821931088088,2.38547808846715,2.385731982059628,2.384721369799827,2.3867367725380215,2.3864810926158015,-297.0,-297.00000000000006,2.572116979511457,8.693203660537476,8.6233216636525
2023-11-24,2.3872353677774156,2.38678353307683,2.386918431647823,2.3856867061540488,2.385407163127381,2.3865317360402134,2.386485370735866,2.3866497565452076,-297.0,-297.00000000000006,2.5713677990413393,8.463697251983245,8.298655483951668
2023-11-25,2.387435717917243,2.3869864071617317,2.387030796996663,2.38725431002108,2.3859502978525744,2.3849892221646094,2.386262953297092,2.3868487307971575,-297.0,-297.00000000000006,2.576418380388922,8.723856790252128,8.320511691844917
2023-11-26,2.387642739833464,2.387187695293613,2.387326708886566,2.3855335073929456,2.3865020440130955,2.3852125783708638,2.3881581324652754,2.387053823335337,-297.00000000000006,-297.0,2.5865283489209454,8.743974699803848,8.341601998054236
2023-11-27,2.3878459740208084,2.3873951831034375,2.387416910139835,2.385755016431941,2.386704824185114,2.385343739735383,2.3867964068552223,2.38726201679085,-297.0,-297.0,2.5814779759354365,8.099263797452362,8.362978970663507
2023-11-28,2.387844763186356,2.3870534423639325,2.3872693013812123,2.3879308064040417,2.386188765325404,2.385384041855611,2.388611358968348,2.3865805162433413,-297.0,-297.0,2.583333880929686,8.096925006150336,8.358438408196914
2023-11-29,2.3878846606636204,2.387600722633004,2.3877665844488205,2.386229714687485,2.386068006845791,2.386234150891429,2.3874617094888038,2.387412334996339,-297.0,-297.0,2.5863705396470844,8.11539572330423,8.380370568470006
2023-11-30,2.387945242131506,2.387495474606445,2.38758722323989,2.3863420546384635,2.3863260207722026,2.385700361766838,2.386985347885124,2.3873297471743684,-297.0,-297.0,2.58076069768881,8.106357170469275,8.369491530206966
2023-12-01,2.387833546339824,2.3873959455772593,2.3875696879424506,2.3863888946934813,2.3858545013976413,2.38618884757001,2.387131667628105,2.387228043227394,-297.0,-297.0,2.574955408559256,8.097394789564955,8.358657408334253
2023-12-02,2.38768216671392,2.387231694610349,2.3871013327539297,2.386477248204993,2.3858577997432167,2.3871112796135554,2.387015862131312,2.386944527167542,-297.0,-296.99999999999994,2.5728962303856835,8.088349914505889,8.347862470482053
2023-12-03,2.387823758002223,2.387410982448432,2.387563528373566,2.3875743325244203,2.385911491311559,2.3858519968709255,2.3886374065751776,2.387225133141262,-297.0,-296.99999999999994,2.5721438279349296,8.09729689259233,8.3629327186607
2023-12-04,2.3878261288719784,2.3873993746949966,2.3875467536010206,2.386213380571185,2.3867005967252277,2.385690580142962,2.3870728644636485,2.3871110369003974,-297.0,-297.00000000000006,2.574105349636436,8.089724297054548,8.358597919885243
2023-12-05,2.3877515932693436,2.3870839567909763,2.387426494548122,2.3859017644164884,2.3867755025170276,2.3854575115880516,2.3868224320947684,2.387235442009001,-297.0,-297.0,2.559795017539582,8.098726230349481,8.369802720848865
2023-12-06,2.38789959901273,2.3871556096044246,2.387589392428379,2.387837091532536,2.386796708698709,2.3854178012523093,2.386932110478064,2.3872975580258493,-297.0,-297.0,2.558676497651093,8.09549397727707,8.20304989898247
2023-12-07,2.38782751117378,2.387403191682741,2.3875509333350706,2.386124316725873,2.3866995518401124,2.3858152407255244,2.3870859681224994,2.3871852335803583,-297.0,-297.00000000000006,2.5374384581729506,8.08452944993383,8.36516484148864
2023-12-08,2.3877075417589535,2.3872896824382823,2.387442562340522,2.386478066264693,2.3866080863647365,2.3861292448270013,2.3870716553295903,2.3870786845784884,-297.0,-297.00000000000006,2.5469318487379873,8.735951443378104,8.355935492479993
2023-12-09,2.3876041192803537,2.387182243940282,2.3873443566604555,2.386060298181043,2.3861293300667756,2.3856956102177413,2.3871538034075637,2.3868154108114545,-297.0,-296.99999999999994,2.545397921244107,8.715511218083474,8.346726258515746
2023-12-10,2.3875383367958003,2.387146225670325,2.3874469802150404,2.387845825325463,2.386627195605969,2.3861027171955445,2.3869745151158854,2.387082390306062,-296.99999999999994,-297.00000000000006,2.5754065838428173,8.72058267837769,8.357376856818293
2023-12-11,2.387513414487779,2.386991056497758,2.3874344256523337,2.387662170021433,2.3868173399098285,2.3855989349876787,2.3865564914162927,2.3872893922574776,-296.99999999999994,-296.99999999999994,2.575142211167647,8.72979706665346,8.20737044087933
2023-12-12,2.3880268132943354,2.387610296759594,2.3877393085588707,2.387817959869232,2.386929772291678,2.3857299977812336,2.3871716589798777,2.387353059607625,-296.99999999999994,-297.0,2.5686700154015676,8.737038650284962,8.384998793432267
2023-12-13,2.387905367533398,2.3874951798037913,2.3876375325102344,2.385809929846123,2.3868260422282757,2.3855796567954393,2.386802103782455,2.3872583566463197,-297.0,-297.0,2.5656038319234136,8.727850952788485,8.203309980938247
2023-12-14,2.387801413584093,2.3870954954570296,2.3875220100510552,2.3865710714241426,2.3884025293585807,2.3875485474244007,2.386552645644747,2.386592999256778,-297.0,-296.99999999999994,2.577900348649751,8.717366523329973,8.365214873016098
2023-12-15,2.387732800973586,2.3873907396010225,2.3875403276206537,2.3876023334809857,2.3864339965701666,2.3862555011503317,2.3873526268596805,2.38652399935183,-296.99999999999994,-297.0,2.5744225276637294,8.717289606447677,8.195624958841227
2023-12-16,2.387407747006326,2.3872729687043903,2.387432233060444,2.3881833708635116,2.386471084597355,2.387610751253258,2.386654800105782,2.3866402350636777,-296.99999999999994,-297.0,2.5815020723219195,8.70459557743246,8.357251261211347
2023-12-17,2.387903735716554,2.387584550817644,2.3877423408744343,2.3867006254037295,2.3867854809193636,2.3863158437274423,2.387139893091698,2.3870953197966815,-296.99999999999994,-296.99999999999994,2.5801802526801714,8.496699526741397,8.393593433486284
2023-12-18,2.3878383848136107,2.387479117066348,2.387635037060666,2.386572525779114,2.3862676218179235,2.386033754430723,2.3872193294040884,2.3865697706916884,-297.00000000000006,-297.0,2.585945647847867,8.737876203662413,8.382808572540576
2023-12-19,2.3881032542097316,2.3876926813659933,2.3878460412544817,2.3867827497069816,2.3868040262981305,2.3864891776515176,2.3874601780369793,2.387453012853511,-296.99999999999994,-297.0,2.5774922196109755,8.27874328633851,8.403749568208463
2023-12-20,2.387902082843923,2.3874844092963383,2.387639500117844,2.386569670989207,2.387777669477401,2.385878108525059,2.3871805643001784,2.3871750686571778,-297.00000000000006,-296.99999999999994,2.5720614253730174,8.114567483335204,8.219213634885493
2023-12-21,2.387903572980205,2.3871812803079684,2.3876374479006803,2.3865689903851854,2.3879109248086663,2.385398701987687,2.3868336947713304,2.3886724298247395,-297.00000000000006,-297.00000000000006,2.5708372299574798,8.114521532238971,8.393381187484547
2023-12-22,2.3878986191429505,2.387423093589194,2.3875347014572483,2.3865699876708084,2.386270005640223,2.3853812773306764,2.386940277768448,2.3886986745150875,-296.99999999999994,-297.0,2.5748566969865787,8.114464779358991,8.39484928962517
2023-12-23,2.3876231978204614,2.3873932424032245,2.3871194458220284,2.387792582957435,2.386397970481346,2.385684012095577,2.3864904356599017,2.386168785984522,-297.00000000000006,-296.99999999999994,2.579380806958909,8.105204564660342,8.213814492707098
2023-12-24,2.3877897727507973,2.3873968734768494,2.3875288537851755,2.3856771028669312,2.3860466281012758,2.387875001774862,2.3868935503580975,2.3884009026748534,-297.0,-297.0,2.5549360834128243,8.1051459087364,8.372887450486502
2023-12-25,2.387889989149873,2.3874271966498157,2.387619937290585,2.386534494455024,2.3863421365411104,2.386311190493068,2.387085098256651,2.387072625468666,-297.00000000000006,-297.0,2.572819333447316,8.113439711609832,8.377078798689254
2023-12-26,2.3877841774398534,2.3874000517303116,2.387434459035274,2.3864146652514546,2.3863402799660665,2.385958522427536,2.3868180053793218,2.3860480779288102,-297.0,-297.0,2.562574934182451,8.106584342243961,8.366407356816651
2023-12-27,2.388306398957175,2.3877877062614568,2.3873904693916463,2.3862297751782067,2.3864371016855768,2.388413466591834,2.3869638768196144,2.3907994958918892,-297.0,-297.0,2.563714456601952,8.153155526646447,8.165520155292816
2023-12-28,2.3880988145861806,2.387711546720895,2.3878156755076634,2.3867078662974293,2.386933343107956,2.386120318599913,2.3873515439462936,2.387088101406453,-297.0,-297.0,2.571852093088055,8.319140977901325,8.234071963487533
2023-12-29,2.387993945550807,2.387585451752518,2.387668330246388,2.3863501760787185,2.385943479252026,2.387568548541928,2.3868664781564264,2.3864176221779796,-297.0,-297.0,2.572583899498845,8.309433982959371,8.398588640115324
2023-12-30,2.3876572569516754,2.3874809165611035,2.387241544980364,2.3879281543457997,2.388578157015872,2.3855373438635414,2.3867805567618245,2.3862320954642224,-297.0,-296.99999999999994,2.5786113446128023,8.117219621214673,8.390633740419522
2023-12-31,2.3876774117842885,2.387276321111361,2.387354839849593,2.385924496233532,2.3864814224277957,2.3858871279386475,2.3871188325507164,2.385991714612864,-297.0,-296.99999999999994,2.566785077172512,8.095162227527899,8.373691487527914
2024-01-01,2.387452897717781,2.387054614343789,2.3871215111809065,2.385235241064635,2.387651537534344,2.385555045298285,2.387050444360944,2.3856730474340084,-297.0,-297.0,2.567640705765484,8.497934941810925,8.356924710707018
2024-01-02,2.3874410400466815,2.387056846017475,2.3871192479743586,2.386025008814208,2.385889295035662,2.387015306576717,2.3870502741441775,2.3857652112236813,-297.0,-297.0,2.6022328976423226,8.739892304577767,8.356976728060882
2024-01-03,2.387545726548213,2.386754129107078,2.3871464515250467,2.38610402296594,2.385566487999535,2.385023716342901,2.3868395766072448,2.385847084686593,-297.00000000000006,-297.0,2.597453455590051,8.087343087066337,8.367588915596746
2024-01-04,2.3874401242751064,2.3870299696356194,2.3871001740378044,2.386001852026606,2.3854905231059016,2.3851645100920287,2.386938644433956,2.385747584430059,-297.0,-296.99999999999994,2.606292839609798,8.741772156788336,8.358457254739234
2024-01-05,2.3874430025246522,2.3870187779822922,2.3870960765505296,2.3859999509332024,2.3854949964272483,2.3851239793882955,2.387024557791735,2.3857457464204113,-297.0,-297.0,2.6126992699091622,8.741498631061814,8.359896001562541
2024-01-06,2.387342748386936,2.3869171865693537,2.38699482271741,2.3859052896019324,2.3860665353780868,2.3854742516225014,2.3882531706442967,2.385627393312831,-297.0,-297.0,2.6260866712404907,8.731054203204934,8.350582132507418
2024-01-07,2.387531489139043,2.387134785391639,2.3871317133045364,2.387555939818736,2.3873593113395946,2.388628524830036,2.387115418726522,2.3858115577606287,-297.0,-297.0,2.605199119850233,8.509821978816868,8.19983193509251
2024-01-08,2.387617550603811,2.3872378261159763,2.387144473247071,2.3879781499486175,2.3858967800786774,2.3852532974895624,2.3871530776640117,2.387318934679051,-297.00000000000006,-297.0,2.6139868491292275,8.09704709067732,8.209951075815244
2024-01-09,2.3876184147325716,2.3872410066086585,2.387267813435666,2.3896911122640305,2.386359009887553,2.385909360818157,2.3869993944897945,2.385872686072252,-297.0,-297.0,2.586991151062277,8.103921917931789,8.385680135370759
2024-01-10,2.387190155488729,2.386792052733372,2.3870569135652673,2.3872233871407587,2.3864564830997064,2.3851875347899214,2.3865591933874843,2.3859145021257575,-297.0,-297.0,2.5856428938618365,8.29557096435715,8.40115272143441
2024-01-11,2.387709407390257,2.3873275761737665,2.387362448905139,2.387594377465882,2.3857130411097134,2.3860052594477694,2.3872385133678296,2.385918416892971,-296.99999999999994,-297.0,2.609148287423947,8.111690207672831,8.401448369183116
2024-01-12,2.387660366034853,2.3872972550755005,2.3873192744342395,2.388303352597326,2.3860723702737783,2.3854308843004346,2.3871674343015994,2.3874007059975897,-296.99999999999994,-297.0,2.606106915119189,8.11670346171827,8.401494089144245
2024-01-13,2.389362514241187,2.3873016839963617,2.3873074904991154,2.3889104983537357,2.3859502618396253,2.388629182307315,2.389431962761191,2.384926398299711,-296.99999999999994,-297.0,2.6054339216618456,8.303848442588654,8.401292347056858
2024-01-14,2.387458214399984,2.387309000689087,2.387304891871341,2.391389562933889,2.3864266961378053,2.3860426729994226,2.3870908241377613,2.3858468295651143,-297.0,-297.0,2.605086803706648,8.125181900309608,8.405755259720383
2024-01-15,2.387149848621188,2.3871019398714175,2.3870500139593696,2.390754963428161,2.3874158021075496,2.3876527472859035,2.385932972777675,2.385470463718415,-297.0,-297.0,2.605016584816523,8.289211330269683,8.384615165277888
2024-01-16,2.387202870008575,2.3873111004602126,2.3873099378629,2.3924508609153854,2.3860581320112653,2.385312110229834,2.3861950834111196,2.3856395528889562,-297.0,-297.0,2.61267044084167,8.490763014465061,8.229387739559392
2024-01-17,2.386979010655643,2.3872161278634385,2.387341333043537,2.3920378357607635,2.3854515016357545,2.3871068943146767,2.3862191201430547,2.385651096841129,-297.0,-297.0,2.626208722394817,8.740650387913988,8.234582565616684
2024-01-18,2.3871145930497937,2.387337989772155,2.3872965478826043,2.392344842148748,2.385659182190185,2.385589075964711,2.386367064442237,2.3856460738182417,-296.99999999999994,-297.0,2.6326184334229326,8.740334439577298,8.236301360335414
2024-01-19,2.3867888330850273,2.3872356341630887,2.3867477023029227,2.3908564412135784,2.385864157114476,2.387274673312735,2.386271266414919,2.385542922144614,-296.99999999999994,-297.0,2.6248910155655842,8.729420652412541,8.399466308027556
2024-01-20,2.386913864009639,2.387192627730221,2.3872566598246308,2.3912013205451137,2.386277445653912,2.385455215055417,2.3867305674776427,2.3855285538665334,-297.0,-297.0,2.6302735990868924,8.651884977922476,8.400913877699827
2024-01-21,2.3886524372998905,2.387194227857423,2.3865409741813446,2.3947088051565157,2.385648456455647,2.3885134090691027,2.388307003930735,2.3850043187931105,-297.0,-297.0,2.649388509863937,8.663335818875698,8.411408955902386
2024-01-22,2.3874985832172846,2.3874433207863257,2.3874255973647456,2.392116473166594,2.386482853555169,2.3861808726840508,2.387010437825812,2.385725330580119,-297.00000000000006,-297.0,2.656497459736104,8.438167743786293,8.417712381637694
2024-01-23,2.3870956531914063,2.3871327427391003,2.387351350602833,2.3922655317584733,2.385843888790704,2.3870938314968666,2.3864682780398607,2.3857011389659846,-297.00000000000006,-297.0,2.6557226061047756,8.67601654207335,8.163691759417976
2024-01-24,2.3874233821835276,2.3874252151757616,2.3873447245099446,2.3934364200915224,2.3861311203324824,2.387033738206459,2.3866812868853002,2.385697916117676,-297.00000000000006,-297.0,2.6600004946893225,8.678295121342353,8.163902124817817
2024-01-25,2.3873796214608345,2.3875255826125716,2.3874485561962104,2.390317840837481,2.385653329737479,2.3861544683020854,2.386814482831532,2.385780835854936,-297.0,-297.0,2.6435112889654833,8.689395845041322,8.348876431549233
2024-01-26,2.387463485831675,2.3875289797497974,2.3873538673288373,2.390921724834784,2.3858171279468836,2.386141523955042,2.3864048257462103,2.3855600153354595,-297.0,-297.00000000000006,2.645217894010304,8.689315971316718,8.350275241853694
2024-01-27,2.3874910039871438,2.3872741305643657,2.3876038998362468,2.391052014475448,2.3866939852116538,2.385568140341398,2.3863293290088277,2.385469243201044,-297.0,-297.00000000000006,2.651137379150712,8.699617312311961,8.449294477096412
2024-01-28,2.387604147843949,2.3876287028327705,2.387603880635574,2.3906240853982847,2.3865903147239136,2.3874747238205902,2.387135968740014,2.3857883143607497,-297.0,-296.99999999999994,2.6413382188416366,8.708830753392908,8.449260626003147
2024-01-29,2.3876274350433144,2.387625369687646,2.3876043752519163,2.3910881467543326,2.386684254139633,2.385609216467476,2.38669772663131,2.3859038098665133,-297.0,-297.0,2.6635040122111326,8.160239603572125,8.449044115275836
2024-01-30,2.387228139409112,2.387177492177651,2.3873610172384576,2.391966719391229,2.3879176237107633,2.3884065598011577,2.386278038168928,2.387406576023725,-297.0,-297.00000000000006,2.6708132740994084,8.184017251573469,8.449044115275836
2024-01-31,2.3875084176524797,2.3874601453979625,2.3874761508682947,2.391382829188329,2.385929282326703,2.385206439652786,2.386723119750089,2.3857656006045698,-297.0,-297.0,2.6675582315155157,8.289422694311403,8.186605188278
2024-02-01,2.387396952476279,2.3874486289114314,2.3874745442796868,2.391386828980527,2.386278344763462,2.3854285349648126,2.3869880270715678,2.385732216232163,-297.0,-297.00000000000006,2.6636655616508973,8.29354372130332,8.188148264118086
2024-02-02,2.387603700977968,2.3875584710892235,2.387579325799294,2.391393640675726,2.3866456536549676,2.385448913232773,2.3870860705653443,2.385365758947019,-297.0,-296.99999999999994,2.656598822027619,8.303133311235765,8.459720673763076
2024-02-03,2.387606290003423,2.387559241765995,2.3875823675321928,2.3923455431731666,2.387985664299762,2.3861181886203036,2.3869271454802097,2.3854618072179514,-297.0,-297.0,2.672928338948266,8.301373932944504,8.459720673763076
2024-02-04,2.3868977653302412,2.3873565947864175,2.387376547352898,2.3943247686604856,2.386441947342849,2.3856249052708662,2.3868599697977495,2.385629520744051,-297.0,-297.0,2.6700095206046868,8.280915224114766,8.346880514122713
2024-02-05,2.387215176499643,2.3874799661111297,2.3874669567173066,2.3926648878494516,2.385969430257043,2.3873269670268007,2.3869965394629142,2.385251594392678,-297.0,-297.0,2.671150575246953,8.291493477157953,8.449398821901047
2024-02-06,2.38739906731699,2.387392003367037,2.387347929606644,2.3912850444871694,2.3860731521883904,2.387143861278718,2.3869043091262965,2.3856254828759895,-297.0,-297.0,2.6632734429878315,8.282187353222152,8.4432965332662
2024-02-07,2.3873880030875787,2.387410585077784,2.387249296613589,2.3936958363224377,2.385882733034296,2.3850954919660396,2.3869099083504786,2.3856296388667904,-297.0,-296.99999999999994,2.662585997202059,8.2831935078383,8.448063812191217
2024-02-08,2.387398441319391,2.3873463477190775,2.3872760991383277,2.392301750520703,2.3860363639377393,2.387110306800573,2.3866297984345586,2.3856207842982062,-297.0,-297.00000000000006,2.6519366402865607,8.283910840230252,8.448339632875982
2024-02-09,2.387501083413289,2.387506140521843,2.387390247080855,2.393090397652099,2.387537456219185,2.3862055280207106,2.3870277348300464,2.3857296380888924,-297.0,-297.0,2.6537144069370115,8.293642265073789,8.198056961399168
2024-02-10,2.3875054861582505,2.3871303718109074,2.3874915330445816,2.3936153429855302,2.3865475013168362,2.385574861936039,2.3864570646714576,2.385730604492875,-297.0,-297.0,2.651905700538566,8.286499157484501,8.198056961399168
2024-02-11,2.3872967290939,2.387324198453703,2.387160881962433,2.3934124508751737,2.3860495468556553,2.385964185914534,2.3868128490861835,2.3855244177300303,-297.0,-297.0,2.6466361346086473,8.267155745893636,8.350672391603103
2024-02-12,2.3875057988557207,2.3875546363709823,2.3875094579904954,2.390838937319089,2.3863844180932294,2.385549766335677,2.387022124477845,2.385744969241694,-297.00000000000006,-297.0,2.6536750240678204,8.284106921470837,8.458335099672624
2024-02-13,2.3875073355271126,2.3869642941694256,2.386963217748763,2.3911143714457506,2.3856566647196034,2.3874147351665527,2.3864663831150783,2.3857670025657307,-297.0,-297.0,2.642691168011007,8.283988608764608,8.353440829367532
2024-02-14,2.3874001450801856,2.387238194760709,2.3872160466765684,2.393976943742247,2.387635491605871,2.3852818812686616,2.3867323669224114,2.3856635641509913,-297.0,-297.0,2.6213940864150693,8.273226247003443,8.198766702578522
2024-02-15,2.3873909304166894,2.3871222766788196,2.38713810216105,2.3951722552482315,2.3859888973691072,2.3875105423651224,2.3867471342087296,2.3856597775527506,-297.0,-297.00000000000006,2.6188571151225806,8.274253745506066,8.293759953728138
2024-02-16,2.387399567499886,2.387174470568715,2.3870075072432413,2.3968886699573444,2.3880395359487165,2.387581171090369,2.3868898304341672,2.385666465816273,-297.0,-297.0,2.6317713295197667,8.273658238751054,8.293780192461389
2024-02-17,2.3873980688373098,2.387367552284108,2.387354035912062,2.3944504592326377,2.3866547676681638,2.386207768852108,2.386911342148151,2.3856668114652875,-297.0,-296.99999999999994,2.625761479807723,8.273386246387048,8.293780192461389
2024-02-18,2.387344392223914,2.3870219743761774,2.3871837457470284,2.396235637047222,2.3861974052070067,2.3853149566600487,2.386460394375361,2.3854743925626645,-297.00000000000006,-297.0,2.6218727339568666,8.273694019425308,8.472717613422777
2024-02-19,2.3873924175526304,2.38734780228937,2.3873461854481874,2.3958036991232077,2.3863918765360297,2.3859456062523448,2.3868961743967056,2.3856597085034124,-297.0,-296.99999999999994,2.6218087682711433,8.288081033849734,8.302662811094859
